Posição,Veículo,Categoria,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
1°,Fiat Strada,Picape Compacta,8777,10266,10256,10076,11854,11474,12895,11833,13876,14041,13019,14536,142903
2°,Volkswagen Polo,Hatch Compacto,5801,7961,8120,10932,12911,11492,12940,12908,10647,9150,9381,10434,122677
3°,Fiat Argo,Hatch Compacto,5173,6307,8247,8444,9063,7235,9966,10097,9484,9981,8386,10256,102639
4°,Volkswagen T-Cross,SUV Compacto,5312,6555,6512,8114,9410,8629,9022,7702,4736,7113,9016,10721,92842
5°,Hyundai HB20,Hatch Compacto,3678,4561,6122,6923,8674,6917,5519,7590,8796,9687,7640,8928,85035
6°,Chevrolet Onix,Hatch Compacto,5576,4715,5748,5416,6157,6782,7689,5815,7039,7439,9524,7995,79895
7°,Hyundai Creta,SUV Compacto,5149,4962,4418,4905,5333,6415,7856,6649,5953,8679,7689,8160,76168
8°,Fiat Mobi,Hatch Subcompacto,4024,5549,4682,6170,6459,6347,8099,7045,4741,6277,7188,6432,73013
9°,Volkswagen Saveiro,Picape Compacta,2911,4701,5692,5458,5336,4849,5696,5358,8154,6437,4796,8165,67553
10°,Jeep Compass,SUV Médio,4436,4303,4018,4542,5688,4546,4935,4717,5291,6257,5889,6640,61262
11°,Honda HR-V,SUV Compacto,4273,4792,5095,5259,6406,6179,4088,4028,5041,6711,4963,4401,61236
12°,Chevrolet Tracker,SUV Compacto,5416,4035,4170,4297,4332,4993,6974,4942,5657,5290,4528,6242,60876
13°,Toyota Corolla Cross,SUV Médio,1826,5351,5834,6232,5513,5335,6866,7737,7282,3609,1465,2628,59678
14°,Renault Kwid,Hatch Subcompacto,2090,4913,4958,3770,5344,5325,3546,4868,5380,5300,7303,5788,58585
15°,Nissan Kicks,SUV Compacto,4458,3217,4519,4006,3607,3394,6341,4740,6319,5721,5646,6433,58401
16°,Fiat Fastback,SUV Coupé Compacto,3423,3772,3551,4676,4809,4930,6207,5040,5344,5666,4381,5506,57305
17°,Chevrolet Onix Plus,Sedan Compacto,3044,2503,4321,4274,3924,3494,3108,4632,5169,5853,5995,6642,52959
18°,Fiat Toro,Picape Intermediária,3451,3649,3629,4502,4690,3414,3985,3181,5174,5915,4288,6275,52153
19°,Toyota Hilux,Picape Média,3747,3057,3413,3934,4425,4576,5370,3571,4066,5204,4047,4322,49732
20°,Volkswagen Nivus,SUV Compacto (Crossover),2915,2958,3792,3615,4591,4791,5777,4557,4173,4257,3124,4213,48763
21°,Volkswagen Tera,SUV Compacto,0,0,0,0,195,2555,3244,4157,7610,10162,9772,10448,48143
22°,Jeep Renegade,SUV Compacto,3679,3628,2928,3380,3644,3411,3711,3228,4547,4263,4230,4152,44801
23°,Fiat Pulse,SUV Compacto,3588,3315,3048,3142,3352,3823,4836,4282,3756,3965,3213,4114,44434
24°,CAOA Chery Tiggo 7,SUV Médio,2601,2141,1707,1935,3211,2589,3721,3541,3742,4248,4060,4944,36734
25°,Volkswagen Virtus,Sedan Compacto,1635,2677,2973,2852,3317,3719,3863,3646,2973,3615,3285,2425,36980
26°,Hyundai HB20S,Sedan Compacto,705,1751,1641,4172,4421,2241,2638,2251,3883,5517,4425,3303,36948
27°,Ford Ranger,Picape Média,2619,2249,2497,2980,2670,2961,3104,2628,3114,3310,2676,3255,34063
28°,GWM Haval H6,SUV Médio,2241,1748,1979,1799,2432,2497,3334,3202,3190,3833,3785,3381,33421
29°,Toyota Corolla,Sedan Médio,2568,3353,3038,3202,3234,3004,3182,2903,3133,2295,1034,2272,33218
30°,BYD Dolphin Mini,Hatch Subcompacto,1725,2399,2432,2177,2577,1913,3011,3300,3392,2794,2881,3889,32490
31°,Chevrolet S10,Picape Média,2073,1301,2330,2695,2772,2612,2649,2340,2793,3312,2998,3583,31458
32°,Fiat Cronos,Sedan Compacto,3313,2101,2427,2116,2677,1919,1894,1395,1606,1846,2375,2883,26552
33°,RAM Rampage,Picape Intermediária,1586,1854,1819,1988,2182,2000,1976,1951,2253,3053,2423,3055,26140
34°,Chevrolet Spin,Minivan / Monovolume,1470,1566,1398,1744,2195,1975,1942,1794,1906,2103,2317,2331,22741
35°,BYD Song Pro,SUV Médio,2240,1868,2028,2256,1716,1010,1339,1374,1320,1644,1876,3867,22538
36°,Fiat Fiorino,Furgão Comercial Leve,991,1066,1811,1776,2044,2224,1799,1778,2384,1951,1399,2106,21329
37°,Chevrolet Montana,Picape Intermediária,1590,1531,1744,1701,1873,1692,1655,1657,2183,1848,1375,1535,20384
38°,Citroën Basalt,SUV Coupé Compacto,1206,1701,1714,1958,1873,1565,1613,991,1226,1562,1404,2980,19793
39°,BYD Song Plus DM-i,SUV Médio,945,815,756,883,1183,1795,1825,1637,1926,1800,2504,3608,19677
40°,Renault Kardian,SUV Compacto,1675,1903,2269,1742,1455,1240,1332,1929,2014,1533,1097,1161,19350
41°,Renault Duster,SUV Compacto,1958,1138,1503,1254,1321,1426,1851,1369,1513,1680,1789,1647,18449
42°,CAOA Chery Tiggo 8,SUV Grande,1039,930,1307,1646,1483,1062,1440,1916,2137,1772,1501,1651,17884
43°,Jeep Commander,SUV Grande,1087,1202,1198,1340,1199,1194,1312,1068,1643,2162,1830,2555,17790
44°,Honda City,Sedan Compacto,1354,1572,1333,1351,1301,1453,1565,1848,1453,1644,1292,1618,17784
45°,Toyota SW4,SUV Grande,1692,1413,1230,1301,1334,1343,1500,1179,1317,1422,1432,1914,17077
46°,Renault Master,Van Comercial,1177,1075,1222,1646,1454,1080,1512,1157,1350,1646,1139,1315,15773
47°,Honda City hatchback,Hatch Compacto,1199,1287,1268,1247,1195,1208,1427,1357,1276,1540,1269,1493,15766
48°,BYD Dolphin,Hatch Compacto,510,627,824,973,1864,1490,1305,1311,1454,1731,802,2347,15238
49°,CAOA Chery Tiggo 5X,SUV Compacto,947,918,715,953,1257,822,1434,1208,1423,1994,1437,563,13671
50°,Citroën C3,Hatch Compacto,952,999,1087,1262,870,1146,1086,852,953,1383,1368,1344,13302
